station_number,state,gnis_id,use_for_cast,gnis_name,station_name,_id
1654000,51,1478094,True,Accotink Creek,"ACCOTINK CREEK NEAR ANNANDALE, VA",5dd5fd301ecacb0868ddc8f8
16725000,15,358524,True,Alakahi Stream,"Alakahi Stream near Kamuela, HI",5dd5fd301ecacb0868ddc9da
12210900,53,1503027,True,Anderson Creek,"ANDERSON CREEK AT SMITH ROAD NEAR GOSHEN, WA",5dd5fd311ecacb0868ddd355
2011470,51,1481370,True,Back Creek,"BACK CREEK AT SUNRISE, VA",5dd5fd301ecacb0868ddc917
2056650,51,1462643,True,Back Creek,"BACK CREEK NEAR DUNDEE, VA",5dd5fd301ecacb0868ddc95d
1614000,54,1168558,True,Back Creek,"BACK CREEK NEAR JONES SPRINGS, WV",5dd5fd311ecacb0868ddcfac
2011500,51,1481370,True,Back Creek,"BACK CREEK NEAR MOUNTAIN GROVE, VA",5dd5fd301ecacb0868ddc919
2011460,51,1481370,True,Back Creek,"BACK CREEK NEAR SUNRISE, VA",5dd5fd301ecacb0868ddc916
1557500,42,1168626,True,Bald Eagle Creek,"Bald Eagle Creek at Tyrone, PA",5dd5fd311ecacb0868ddd232
2470072,1,133580,True,Bassett Creek,"BASSETT CREEK AT US HIGHWAY 43 NR THOMASVILLE, AL.",5dd5fd331ecacb0868ddd99c
1662800,51,1673957,True,Battle Run,"BATTLE RUN NEAR LAUREL MILLS, VA",5dd5fd301ecacb0868ddc900
7382000,22,553439,True,Bayou Cocodrie,"Bayou Cocodrie near Clearwater, LA",5dd5fd301ecacb0868ddcda4
8012000,22,553499,True,Bayou Nezpique,"Bayou Nezpique near Basile, LA",5dd5fd301ecacb0868ddcdad
7351750,22,532718,True,Bayou Pierre,"Bayou Pierre near Lake End, LA",5dd5fd301ecacb0868ddcd77
6710605,8,182308,True,Bear Creek,"BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON, CO",5dd5fd331ecacb0868ddd9d2
6710385,8,182308,True,Bear Creek,"BEAR CREEK ABOVE EVERGREEN, CO",5dd5fd331ecacb0868ddd9d1
5495500,17,404014,True,Bear Creek,"BEAR CREEK NEAR MARCELLINE, IL",5dd5fd341ecacb0868dddbf6
4122100,26,620834,True,Bear Creek,"BEAR CREEK NEAR MUSKEGON, MI",5dd5fd301ecacb0868ddcb9b
7191222,40,76272,True,Beaty Creek,"Beaty Creek near Jay, OK",5dd5fd2f1ecacb0868ddc6bf
1446000,34,874612,True,Beaver Brook,Beaver Brook near Belvidere NJ,5dd5fd2e1ecacb0868ddc5ec
7099060,8,192525,True,Beaver Creek,"BEAVER CREEK ABOVE HIGHWAY 115 NEAR PENROSE, CO",5dd5fd331ecacb0868ddda0d
6392900,56,1261240,True,Beaver Creek,"BEAVER CREEK AT MALLO CAMP, NEAR FOUR CORNERS, WY",5dd5fd301ecacb0868ddca83
14142800,41,1117439,True,Beaver Creek,"BEAVER CREEK AT TROUTDALE, OR",5dd5fd321ecacb0868ddd528
3322485,39,1037750,True,Beaver Creek,Beaver Creek near Celina OH,5dd5fd3a1ecacb0868ddde13
